Team,no_all_athlete,no_women,percen_women,,,Country name,Percentage,
Belarus,1783,790,44.31,,,Montenegro,38.30,38.30
Belarus-1,2,2,100.00,,,Palestine,38.10,38.10
Belarus-2,2,2,100.00,,,Romania,37.44,37.44
Belgium,3687,598,16.22,,,Canada,37.43,37.43
Belgium-1,37,2,5.41,,,Czech Republic,37.40,37.40
Belgium-2,27,2,7.41,,,Slovenia,37.04,37.04
Belgium-3,4,1,25.00,,,Singapore,36.98,36.98
Belgium-4,4,1,25.00,,,Dominica,36.84,36.84
Belize,76,9,11.84,,,Zimbabwe,36.57,36.57
Bella,2,0,0.00,,,Namibia,36.36,36.36
Bellatrix IX,3,0,0.00,,,Australia,35.90,#N/A
Bellatrix XIII,2,0,0.00,,,Burundi,35.90,35.90
Bem II,4,0,0.00,,,Serbia,35.82,35.82
Benin,71,14,19.72,,,Rwanda,35.71,35.71
Bera,5,0,0.00,,,Mauritius,35.00,35.00
Berliner Ruderclub,2,0,0.00,,,Nigeria,34.92,34.92
Berliner Ruderclub Sport-Borussia-1,9,0,0.00,,,Slovakia,34.29,34.29
Berliner Ruderverein von 1876-2,9,0,0.00,,,Vanuatu,34.29,34.29
Bermuda,198,41,20.71,,,Burkina Faso,34.09,34.09
Bermudes,3,0,0.00,,,New Zealand,33.68,33.68
Bermudian,2,0,0.00,,,South Sudan,33.33,33.33
Bhutan,36,17,47.22,,,Solomon Islands,33.33,33.33
Bim,3,0,0.00,,,Republic of the Congo,33.33,#N/A
Bingo,3,0,0.00,,,Netherlands,33.26,33.26
Bissbi,4,0,0.00,,,South Korea,33.10,33.10
Blue Red,5,0,0.00,,,Japan,32.90,32.90
Bluebottle,3,0,0.00,,,Hong Kong,32.54,32.54
Boer Team,5,0,0.00,,,Indonesia,32.11,32.11
Bohemia,146,1,0.68,,,Lithuania,31.96,31.96
Bohemia-1,2,0,0.00,,,Suriname,31.88,31.88
Bohemia-2,2,0,0.00,,,Mali,31.52,31.52
Bohemia-3,2,0,0.00,,,Grenada,31.48,31.48
Bohemia/Great Britain,2,1,50.00,,,Germany,31.21,31.21
Bolivia,152,36,23.68,,,Israel,30.90,30.90
Bona Fide,3,0,0.00,,,Peru,30.45,30.45
Bonaparte,1,1,100.00,,,Uzbekistan,30.35,30.35
Bonzo,3,0,0.00,,,El Salvador,30.28,30.28
Boreas,3,0,0.00,,,Bulgaria,30.27,30.27
Boreas-2,2,0,0.00,,,Sri Lanka,30.14,30.14
Bosnia and Herzegovina,134,39,29.10,,,Cameroon,30.13,30.13
Boston Archers,4,0,0.00,,,United States of America,30.08,#N/A
Botswana,90,7,7.78,,,Brazil,29.80,29.80
Brandenburg,1,0,0.00,,,Mozambique,29.49,29.49
Brat,2,0,0.00,,,Bosnia and Herzegovina,29.10,#N/A
Brazil,3772,1124,29.80,,,Thailand,29.10,29.10
Brazil-1,28,12,42.86,,,Fiji,28.88,28.88
Brazil-2,28,12,42.86,,,Jordan,28.75,28.75
Bremen,1,0,0.00,,,Tuvalu,28.57,28.57
Brentina,1,1,100.00,,,Poland,28.31,28.31
Breslau,1,0,0.00,,,Panama,28.06,28.06
Briar,1,0,0.00,,,United Kingdom,27.96,#N/A
Brigantia,2,0,0.00,,,Cambodia,27.87,27.87
British Virgin Islands,45,5,11.11,,,Colombia,27.62,27.62
Bronia,3,0,0.00,,,Equatorial Guinea,27.50,27.50
Brunei,10,2,20.00,,,Moldova,27.35,27.35
Brussels Swimming and Water Polo Club,10,0,0.00,,,Kiribati,27.27,27.27
Brynhild-2,1,0,0.00,,,Spain,27.18,27.18
Bu III,2,0,0.00,,,Mongolia,27.09,27.09
Bucintoro Venezia,8,0,0.00,,,Croatia,26.94,26.94
Bucintoro Venezia-1,3,0,0.00,,,Malta,26.72,26.72
Bulgaria,3518,1065,30.27,,,Hungary,26.49,26.49
Bulgaria-1,6,2,33.33,,,Democratic Republic of the Congo,26.38,#N/A
Bulgaria-2,6,2,33.33,,,Saint Vincent and the Grenadines,26.19,26.19
Buraddoo,6,0,0.00,,,Dominican Republic,25.99,25.99
Burevestnik,3,0,0.00,,,Cyprus,25.78,25.78
Burkina Faso,44,15,34.09,,,South Africa,25.68,25.68
Burundi,39,14,35.90,,,Nepal,25.53,25.53
Buscape II,2,0,0.00,,,Estonia,25.40,25.40
Bylina-2,5,0,0.00,,,Georgia,25.17,25.17
C.V.A.-14,2,0,0.00,,,Azerbaijan,25.09,#N/A
C.V.A.-7,4,0,0.00,,,Costa Rica,24.62,24.62
Calcinhas,2,0,0.00,,,Maldives,24.49,24.49
Calimucho,1,1,100.00,,,Sweden,24.47,24.47
Calypse II,2,0,0.00,,,Italy,24.41,24.41
Cambodia,61,17,27.87,,,Chad,24.39,24.39
Cambria,3,0,0.00,,,Ethiopia,24.34,24.34
Cambridge University Boat Club-2,9,0,0.00,,,Guam,24.11,24.11
Camelia,4,0,0.00,,,Papua New Guinea,24.07,24.07
Cameroon,312,94,30.13,,,Venezuela,24.00,24.00
Camille,1,0,0.00,,,Central African Republic,23.88,23.88
Canada,9279,3473,37.43,,,Gabon,23.81,23.81
Canada-1,151,39,25.83,,,Norway,23.79,23.79
Canada-2,150,39,26.00,,,Kyrgyzstan,23.79,23.79
Canada-3,26,9,34.62,,,Cuba,23.70,23.70
Canopus,6,0,0.00,,,Bolivia,23.68,#N/A
Cape Verde,18,9,50.00,,,Sierra Leone,23.68,23.68
Caprice,4,0,0.00,,,Bangladesh,23.62,#N/A
Carabinier-15,1,0,0.00,,,Ecuador,23.10,23.10
Carabinier-5,1,0,0.00,,,France,22.88,22.88
Cayman Islands,83,12,14.46,,,Tajikistan,22.86,22.86
Central African Republic,67,16,23.88,,,Lesotho,22.73,22.73
"Central Turnverein, Chicago",6,0,0.00,,,Latvia,22.72,22.72
Century Boat Club-1,4,0,0.00,,,Mexico,22.72,22.72
Cercle Nautique de Reims-4,2,0,0.00,,,Austria,22.44,#N/A
Cercle de l'Aviron Roubaix-4,10,0,0.00,,,Myanmar,22.43,22.43
Ceres II,3,0,0.00,,,Laos,22.22,22.22
Cha-Cha III,2,0,0.00,,,Tonga,21.74,21.74
Chad,41,10,24.39,,,Greece,21.61,21.61
Chaje II,3,0,0.00,,,Ireland,21.47,21.47
Chamukina,2,0,0.00,,,Trinidad and Tobago,21.45,21.45
Chance,2,0,0.00,,,Niger,21.28,21.28
Chicago Archers,4,0,0.00,,,United States Virgin Islands,21.11,21.11
Chicago Athletic Association,5,0,0.00,,,Seychelles,20.72,20.72
Chicago Athletic Association-2,11,0,0.00,,,Honduras,20.63,20.63
Chile,924,118,12.77,,,Kenya,20.60,20.60
China,4975,2673,53.73,,,Guyana,20.59,20.59
China-1,80,46,57.50,,,Iceland,20.57,20.57
China-2,78,46,58.97,,,Guinea,20.55,20.55
China-3,8,5,62.50,,,Switzerland,20.33,20.33
Chinese Taipei,1077,400,37.14,,,Liechtenstein,20.33,20.33
Chinese Taipei-1,10,4,40.00,,,Argentina,20.10,#N/A
Chinese Taipei-2,10,4,40.00,,,Brunei,20.00,#N/A
Chok,3,0,0.00,,,Denmark,19.98,19.98
Christian Brothers' College-1,11,0,0.00,,,Malaysia,19.80,19.80
Chuckles,2,0,0.00,,,Benin,19.72,#N/A
Cicely-1,1,0,0.00,,,Senegal,19.59,19.59
Cinara-13,1,0,0.00,,,Samoa,19.05,19.05
Cincinnati Archers,8,4,50.00,,,Portugal,19.02,19.02
Ciocca,5,0,0.00,,,Togo,18.64,18.64
Ciocca II,7,0,0.00,,,Turkey,18.55,18.55
Ciocca III,3,0,0.00,,,Finland,18.44,18.44
Circus,2,0,0.00,,,Haiti,18.10,18.10
Ciss,3,0,0.00,,,Puerto Rico,18.09,18.09
Clearwater,1,1,100.00,,,Guatemala,17.65,17.65
Clementine V,2,0,0.00,,,Liberia,17.57,17.57
Club Nautique de Dieppe-5,6,0,0.00,,,Mauritania,17.24,17.24
Club Nautique de Franais-1,4,0,0.00,,,India,17.21,17.21
Club Nautique de Lyon-2,8,0,0.00,,,Algeria,17.06,#N/A
Cobweb-1,5,0,0.00,,,Nicaragua,17.05,17.05
Colette-10,1,0,0.00,,,Paraguay,17.04,17.04
Colette-12,2,0,0.00,,,Tunisia,16.93,16.93
Colombia,1068,295,27.62,,,Belgium,16.22,#N/A
Comanche,2,0,0.00,,,Ghana,16.16,16.16
Combine,2,0,0.00,,,Uganda,16.15,16.15
Comoros,19,8,42.11,,,Malawi,16.09,16.09
Compigne Polo Club,4,0,0.00,,,Somalia,15.63,15.63
Complex II,4,0,0.00,,,Nauru,15.38,15.38
"Concordia Turnverein, St Louis",6,0,0.00,,,Philippines,15.12,15.12
Congo (Brazzaville),105,35,33.33,,,Eritrea,13.95,13.95
Congo (Kinshasa),93,25,26.88,,,Morocco,13.49,13.49
Cook Islands,40,16,40.00,,,Djibouti,13.16,13.16
Cornwall,15,0,0.00,,,Libya,13.10,13.10
Costa Rica,264,65,24.62,,,Tanzania,13.04,13.04
Cote d'Ivoire,193,58,30.05,,,Chile,12.77,#N/A
Covunco III,2,0,0.00,,,Lebanon,12.54,12.54
Crabe I-11,1,0,0.00,,,Yemen,12.50,12.50
Crabe I-2,1,0,0.00,,,Egypt,11.16,11.16
Crabe I-3,1,0,0.00,,,Syria,10.90,10.90
Crabe II-1,5,0,0.00,,,Uruguay,10.88,10.88
Crabe II-12,5,0,0.00,,,Zambia,10.38,10.38
Crabe II-4,5,0,0.00,,,Monaco,9.57,9.57
Crete,11,0,0.00,,,San Marino,9.39,9.39
Croatia,876,236,26.94,,,Sudan,9.35,9.35
Crocodile-11,2,0,0.00,,,Botswana,7.78,#N/A
Crocodile-13,1,0,0.00,,,Luxembourg,7.36,7.36
Cuba,2464,584,23.70,,,Iran,6.21,6.21
Cuba-1,2,2,100.00,,,Oman,6.06,6.06
Cuba-2,2,2,100.00,,,United Arab Emirates,4.86,4.86
Cupidon III,5,0,0.00,,,Afghanistan,3.97,#N/A
Cupidon Viking,5,0,0.00,,,Qatar,3.65,3.65
Cuxhaven,1,0,0.00,,,Iraq,3.02,3.02
Cyprus,225,58,25.78,,,Saudi Arabia,2.17,2.17
Czech Republic,1802,674,37.40,,,Pakistan,1.96,1.96
Czech Republic-1,36,11,30.56,,,Kuwait,1.41,1.41
Czech Republic-2,36,11,30.56,,,,,
Czechoslovakia,4352,901,20.70,,,,,
Czechoslovakia-1,24,2,8.33,,,,,
Czechoslovakia-2,22,2,9.09,,,,,
Czechoslovakia-3,6,0,0.00,,,,,
Daisy,5,0,0.00,,,,,
Damoiselle,3,0,0.00,,,,,
Damoiselle IV,3,0,0.00,,,,,
Danaldo,2,0,0.00,,,,,
Dansk Idrts Forbund,11,0,0.00,,,,,
Danuta,5,0,0.00,,,,,
Danzig,1,0,0.00,,,,,
"Davenport Turngemeinde, Davenport",6,0,0.00,,,,,
DeRuyter,8,0,0.00,,,,,
Demi-Mondaine-15,1,0,0.00,,,,,
Demi-Mondaine-17,1,0,0.00,,,,,
Denmark,3424,684,19.98,,,,,
Denmark-1,30,12,40.00,,,,,
Denmark-2,30,12,40.00,,,,,
Denmark-3,2,0,0.00,,,,,
Denmark-4,2,0,0.00,,,,,
Denmark/Sweden,6,0,0.00,,,,,
Deutscher Schwimm Verband Berlin,4,0,0.00,,,,,
Devon and Somerset Wanderers,12,0,0.00,,,,,
Diablo,2,0,0.00,,,,,
Diabolo St Maurice,1,0,0.00,,,,,
Dick-8,1,0,0.00,,,,,
Digby,1,1,100.00,,,,,
Dinah V,3,0,0.00,,,,,
Djibouti,38,5,13.16,,,,,
Djinn,10,0,0.00,,,,,
Dolfijn,6,0,0.00,,,,,
Dominica,19,7,36.84,,,,,
Dominican Republic,277,72,25.99,,,,,
Don Schufro,1,0,0.00,,,,,
Donar III,3,0,0.00,,,,,
Dormy-1,3,0,0.00,,,,,
Dow Jones,1,1,100.00,,,,,
Dresden,1,0,0.00,,,,,
Druzhba,6,0,0.00,,,,,
Ducky-16,1,0,0.00,,,,,
Ducky-4,2,0,0.00,,,,,
Dylan-2,2,0,0.00,,,,,
EA II,6,0,0.00,,,,,
East Germany,2543,919,36.14,,,,,
East Germany-1,48,5,10.42,,,,,
East Germany-2,48,5,10.42,,,,,
East Germany-3,6,2,33.33,,,,,
Ecuador,277,64,23.10,,,,,
Edelweiss II-1,3,0,0.00,,,,,
Egypt,1622,181,11.16,,,,,
Eissero VI,2,0,0.00,,,,,
El Salvador,218,66,30.28,,,,,
Eleda,7,0,0.00,,,,,
Elisabeth V,3,0,0.00,,,,,
Elisabeth X,5,0,0.00,,,,,
Elsie,4,0,0.00,,,,,
Elvis Va,1,1,100.00,,,,,
Emily,5,0,0.00,,,,,
Encore,3,1,33.33,,,,,
England,12,0,0.00,,,,,
England-1,23,0,0.00,,,,,
Enotria,2,0,0.00,,,,,
Equatorial Guinea,40,11,27.50,,,,,
Eritrea,43,6,13.95,,,,,
Erna Signe,10,0,0.00,,,,,
Escapade,3,0,0.00,,,,,
Espadarte,2,0,0.00,,,,,
Espardate,2,0,0.00,,,,,
Esperia,5,0,0.00,,,,,
Espuma del Mar,4,0,0.00,,,,,
Essen,1,0,0.00,,,,,
Esterel-1,2,0,0.00,,,,,
Estonia,870,221,25.40,,,,,
Ethiopia,378,92,24.34,,,,,
Ethnikos Gymnastikos Syllogos,2,0,0.00,,,,,
Evita VI,2,0,0.00,,,,,
Fada,2,0,0.00,,,,,
Falcon IV,2,0,0.00,,,,,
Falcon VI,2,0,0.00,,,,,
Faneca,4,0,0.00,,,,,
Fantasio III,2,0,0.00,,,,,
Fantlet-2,1,0,0.00,,,,,
Fantlet-7,2,0,0.00,,,,,
Favorite Hammonia-3,11,0,0.00,,,,,
Favorite-1,8,0,0.00,,,,,
Favorite-17,4,0,0.00,,,,,
Federated States of Micronesia,26,11,42.31,,,,,
Femur-1,1,0,0.00,,,,,
Femur-18,1,0,0.00,,,,,
Feo,6,1,16.67,,,,,
Fiji,232,67,28.88,,,,,
Finland,5379,992,18.44,,,,,
Finland-1,2,0,0.00,,,,,
Finland-2,2,0,0.00,,,,,
Finn II,3,0,0.00,,,,,
Firebird II,2,0,0.00,,,,,
Floresco,1,0,0.00,,,,,
Formosa,1,0,0.00,,,,,
Fornebo,4,0,0.00,,,,,
Fortuna,2,0,0.00,,,,,
Foxhunters Hurlingham,5,0,0.00,,,,,
Fram,5,0,0.00,,,,,
Fram III,3,0,0.00,,,,,
France,11988,2743,22.88,,,,,
France-1,135,16,11.85,,,,,
France-2,121,16,13.22,,,,,
France-3,12,3,25.00,,,,,
France-4,2,0,0.00,,,,,
France/Great Britain,2,1,50.00,,,,,
Frankfurt Club,15,0,0.00,,,,,
Freddy,2,0,0.00,,,,,
Freia-19,1,0,0.00,,,,,
Freia-5,2,0,0.00,,,,,
Freja,3,0,0.00,,,,,
Frieda,5,0,0.00,,,,,
Frimousse,3,0,0.00,,,,,
Frip IV,2,0,0.00,,,,,
Fruits,5,0,0.00,,,,,
Gabbiano,3,0,0.00,,,,,
