Team,no_all_athlete,no_women,percen_women,,,Country name,Percentage,
Kerstin-1,3,0,0.00,,,,,
Kiel,1,0,0.00,,,,,
Kingfisher,2,0,0.00,,,,,
Kiribati,11,3,27.27,,,,,
Kitty-1,8,0,0.00,,,,,
Kln,1,0,0.00,,,,,
Knigsberg,1,0,0.00,,,,,
Kon-Tiki,2,0,0.00,,,,,
Konstanz,1,0,0.00,,,,,
Korshun,3,0,0.00,,,,,
Kosovo,8,5,62.50,,,,,
Kristiania Roklub,9,0,0.00,,,,,
Kristiania Roklub-1,10,0,0.00,,,,,
Kuling,3,0,0.00,,,,,
Kullan,3,0,0.00,,,,,
Kurush II,2,0,0.00,,,,,
Kurush IV,4,0,0.00,,,,,
Kuwait,284,4,1.41,,,,,
Kyrgyzstan,227,54,23.79,,,,,
L'Aile VI,6,1,16.67,,,,,
"La Salle Turnverein, Chicago",6,0,0.00,,,,,
LaBandera,5,0,0.00,,,,,
Lady C,2,0,0.00,,,,,
Lalage,10,0,0.00,,,,,
Lancet,1,1,100.00,,,,,
Laos,54,12,22.22,,,,,
"Large boat, Central Naval Prep School ""Poros""-1",17,0,0.00,,,,,
Lasha,3,0,0.00,,,,,
Latvia,867,197,22.72,,,,,
Latvia-1,42,0,0.00,,,,,
Latvia-2,42,0,0.00,,,,,
Laurea-1,1,0,0.00,,,,,
Lbeck,1,0,0.00,,,,,
Leander Club #1-1,2,0,0.00,,,,,
Leander Club #2-2,2,0,0.00,,,,,
Leander Club-1,18,0,0.00,,,,,
Leander Club-2,4,0,0.00,,,,,
Lebanon,327,41,12.54,,,,,
Legionario,2,0,0.00,,,,,
Leipzig,1,0,0.00,,,,,
"Lemzos Thorichton ""Psara""-3",17,0,0.00,,,,,
"Lemzos Thorichton ""Spetsai""-4",17,0,0.00,,,,,
Lerina,9,3,33.33,,,,,
Lesotho,66,15,22.73,,,,,
Lett,3,0,0.00,,,,,
Libellule de Paris,7,0,0.00,,,,,
Libellule de Paris-3,5,0,0.00,,,,,
Liberia,74,13,17.57,,,,,
Libya,84,11,13.10,,,,,
Liechtenstein,369,75,20.33,,,,,
"Life boat naval ship ""Spetsai""-1",7,0,0.00,,,,,
Linglom,3,1,33.33,,,,,
Lithuania,654,209,31.96,,,,,
Liverpool Police Team-2,8,0,0.00,,,,,
Llanoria,11,1,9.09,,,,,
London City Police-1,8,0,0.00,,,,,
Lotta IV,4,0,0.00,,,,,
Lucky,2,0,0.00,,,,,
Lucky Girl-1,5,0,0.00,,,,,
Lucky Star,5,1,20.00,,,,,
Ludwigshafener Ruder Verein-1,5,0,0.00,,,,,
Ludwigshafener Ruderverein,5,0,0.00,,,,,
Lully II,5,0,0.00,,,,,
Luxembourg,992,73,7.36,,,,,
Luxembourg-1,2,0,0.00,,,,,
Luxembourg-2,2,0,0.00,,,,,
Lyn-2,5,0,0.00,,,,,
Lynn,5,0,0.00,,,,,
Ma'Lindo,2,0,0.00,,,,,
Mac Miche,3,0,0.00,,,,,
Macedonia,84,33,39.29,,,,,
Macky VI,3,0,0.00,,,,,
Mad Dog,2,0,0.00,,,,,
Madagascar,119,48,40.34,,,,,
Magda IX,10,0,0.00,,,,,
Magdalen College Boat Club-1,4,0,0.00,,,,,
Maid of Lebanon,2,0,0.00,,,,,
Mainz,1,0,0.00,,,,,
Malawi,87,14,16.09,,,,,
Malaya,45,1,2.22,,,,,
Malaysia,510,101,19.80,,,,,
Malaysia-1,10,0,0.00,,,,,
Malaysia-2,10,0,0.00,,,,,
Maldives,49,12,24.49,,,,,
Mali,92,29,31.52,,,,,
Malta,116,31,26.72,,,,,
Mamie-4,2,0,0.00,,,,,
Mamie-6,4,0,0.00,,,,,
Manana,2,0,0.00,,,,,
Marga-2,6,0,0.00,,,,,
Margaret,2,0,0.00,,,,,
Mari,2,0,0.00,,,,,
Marie-Tim,2,0,0.00,,,,,
"Marinai della nave da guerra ""Varese""",24,0,0.00,,,,,
Marmara,2,0,0.00,,,,,
Marmi II-1,3,0,0.00,,,,,
Marshall Islands,14,7,50.00,,,,,
Marsouin-26,1,0,0.00,,,,,
Marsouin-8,1,0,0.00,,,,,
Martha-1,8,0,0.00,,,,,
Martha-27,4,0,0.00,,,,,
Maryke,2,0,0.00,,,,,
Mascaret-28,1,0,0.00,,,,,
Mascaret-4,2,0,0.00,,,,,
Mascotte,9,0,0.00,,,,,
Matrero II,6,0,0.00,,,,,
Mauritania,29,5,17.24,,,,,
Mauritius,140,49,35.00,,,,,
Mauritius-1,2,1,50.00,,,,,
Mauritius-2,2,1,50.00,,,,,
May Be,5,1,20.00,,,,,
May Be VII,5,0,0.00,,,,,
May-Be 1960,2,0,0.00,,,,,
Mebi,3,0,0.00,,,,,
Merope,4,0,0.00,,,,,
Merope III,4,0,0.00,,,,,
Meteor,2,0,0.00,,,,,
Mexico,2857,649,22.72,,,,,
Mexico-1,4,0,0.00,,,,,
Mexico-2,4,0,0.00,,,,,
Mignon-29,1,0,0.00,,,,,
Mignon-3,2,0,0.00,,,,,
Milwaukee Athletic Club-1,5,0,0.00,,,,,
"Milwaukee Turnverein, Milwaukee",6,0,0.00,,,,,
Minerva Amsterdam,17,0,0.00,,,,,
Minotaur,3,0,0.00,,,,,
Mirtala,3,0,0.00,,,,,
Miss Denmark 1964,2,0,0.00,,,,,
Miss Nippon IV,3,0,0.00,,,,,
Miss Nippon V,3,0,0.00,,,,,
Missouri Athletic Club-3,11,0,0.00,,,,,
Mistral Hojris,1,1,100.00,,,,,
MitaII,2,0,0.00,,,,,
Mizar,2,0,0.00,,,,,
Mohawk Indians-2,12,0,0.00,,,,,
Moldova,234,64,27.35,,,,,
Monaco,188,18,9.57,,,,,
Monaco-1,2,0,0.00,,,,,
Monaco-2,2,0,0.00,,,,,
Mongolia,550,149,27.09,,,,,
Monica,3,0,0.00,,,,,
Montenegro,94,36,38.30,,,,,
Moorina,2,0,0.00,,,,,
Morena,5,0,0.00,,,,,
Morocco,682,92,13.49,,,,,
Moseley Wanderers,15,0,0.00,,,,,
Mosk II,7,0,0.00,,,,,
Mouchette-2,10,0,0.00,,,,,
Mound City Rowing Club-2,4,0,0.00,,,,,
Mozambique,78,23,29.49,,,,,
Mutafo,3,0,0.00,,,,,
Myanmar,107,24,22.43,,,,,
Myojo,2,0,0.00,,,,,
Mystery,5,0,0.00,,,,,
Mythilus,1,1,100.00,,,,,
Nadine,1,0,0.00,,,,,
Naiad,2,0,0.00,,,,,
Namibia,77,28,36.36,,,,,
Namoussa,5,0,0.00,,,,,
Nan-2,1,0,0.00,,,,,
Nauru,13,2,15.38,,,,,
Nausikaa 4,2,0,0.00,,,,,
Nautikos Omilos-3,5,0,0.00,,,,,
Nepal,94,24,25.53,,,,,
Nephos I,4,0,0.00,,,,,
Neptun II,3,0,0.00,,,,,
Netherlands,5718,1902,33.26,,,,,
Netherlands Antilles,79,12,15.19,,,,,
Netherlands-1,14,10,71.43,,,,,
Netherlands-2,14,10,71.43,,,,,
"New College, Oxford-2",9,0,0.00,,,,,
New York Athletic Club,5,0,0.00,,,,,
New York Athletic Club #1-1,4,0,0.00,,,,,
New York Athletic Club #2-4,4,0,0.00,,,,,
New York Athletic Club-1,7,0,0.00,,,,,
New York Athletic Club-4,5,0,0.00,,,,,
"New York Turnverein, New York",6,0,0.00,,,,,
New Zealand,2328,784,33.68,,,,,
New Zealand-1,2,0,0.00,,,,,
New Zealand-2,2,0,0.00,,,,,
Newfoundland,1,0,0.00,,,,,
Nicaragua,129,22,17.05,,,,,
Niger,47,10,21.28,,,,,
Nigeria,862,301,34.92,,,,,
Nigeria-1,10,4,40.00,,,,,
Nigeria-2,10,4,40.00,,,,,
Nikh,2,0,0.00,,,,,
Nina,7,0,0.00,,,,,
Nina Claire-2,8,0,0.00,,,,,
Nina Claire-30,4,0,0.00,,,,,
Nirefs,3,0,0.00,,,,,
Nirwana,5,0,0.00,,,,,
Nokaut II,2,0,0.00,,,,,
Nora,2,0,0.00,,,,,
Noreg,4,0,0.00,,,,,
Norman-1,5,0,0.00,,,,,
Norna,4,0,0.00,,,,,
Nortazo,2,0,0.00,,,,,
North Borneo,2,0,0.00,,,,,
North Korea,795,388,48.81,,,,,
North Korea-1,6,4,66.67,,,,,
North Korea-2,6,4,66.67,,,,,
North Yemen,11,0,0.00,,,,,
Norway,4708,1120,23.79,,,,,
Norway-1,28,4,14.29,,,,,
Norway-2,28,5,17.86,,,,,
Norway-3,2,0,0.00,,,,,
Norwegian Rowing Association,9,0,0.00,,,,,
"Norwegier Turnverein, Brooklyn",6,0,0.00,,,,,
Notavel,1,0,0.00,,,,,
Nrnberg,1,0,0.00,,,,,
Nurdug II,3,0,0.00,,,,,
Nykjbings paa Falster,5,0,0.00,,,,,
Oleander II,3,0,0.00,,,,,
Oleander XII,3,0,0.00,,,,,
Olen,3,0,0.00,,,,,
Olimpia,2,0,0.00,,,,,
Olle,9,0,0.00,,,,,
Olympion,2,0,0.00,,,,,
Oman,66,4,6.06,,,,,
Omas Helliniki P. S.,8,0,0.00,,,,,
Omilos Ereton Peiraios-2,3,0,0.00,,,,,
Omilos Ereton Smyrnis,5,0,0.00,,,,,
Oranje,3,0,0.00,,,,,
Orion,1,1,100.00,,,,,
Ormsund Roklub-2,5,0,0.00,,,,,
"Osborne Swimming Club, Manchester",7,0,0.00,,,,,
Oxalis,1,0,0.00,,,,,
Paka,2,0,0.00,,,,,
Paka V,2,0,0.00,,,,,
Pakaria,2,0,0.00,,,,,
Pakistan,562,11,1.96,,,,,
Palau,25,13,52.00,,,,,
Palestine,21,8,38.10,,,,,
Pam,3,0,0.00,,,,,
Pampero,9,0,0.00,,,,,
Pan,11,0,0.00,,,,,
Pan II,3,0,0.00,,,,,
Pan-Hellenic Athletic Club,5,0,0.00,,,,,
Panama,139,39,28.06,,,,,
Pandora,2,0,0.00,,,,,
Panhellenios Gymnastikos Syllogos-1,11,0,0.00,,,,,
Pannonia RC/National RC,9,0,0.00,,,,,
Papua New Guinea,108,26,24.07,,,,,
Paraguay,135,23,17.04,,,,,
Partenope,3,0,0.00,,,,,
Pasodoble,2,0,0.00,,,,,
"Passaic Turnverein, Passaic",6,0,0.00,,,,,
Patricia,3,0,0.00,,,,,
Paula,3,0,0.00,,,,,
Pegaso,2,0,0.00,,,,,
Peiraikos Syndesmos-2,8,0,0.00,,,,,
Peri,2,0,0.00,,,,,
Peri II,2,0,0.00,,,,,
Persey,3,0,0.00,,,,,
Peru,532,162,30.45,,,,,
Pettit-Poucet-6,1,0,0.00,,,,,
"Phalainis ton Thorichtou ""Hydra""-2",24,0,0.00,,,,,
"Phalainis ton Thorichtou ""Psara""-3",7,0,0.00,,,,,
"Philadelphia Turngemeinde, Philadelphia",6,0,0.00,,,,,
Philippines,688,104,15.12,,,,,
Phoenix,3,0,0.00,,,,,
Pierre et Jean-3,1,0,0.00,,,,,
Pierre et Jean-4,2,0,0.00,,,,,
Pigoule,2,0,0.00,,,,,
Pimm,2,0,0.00,,,,,
Pirouette-31,1,0,0.00,,,,,
Pirouette-5,2,0,0.00,,,,,
Pistoja/Firenze,9,0,0.00,,,,,
Plume-Patte-5,2,0,0.00,,,,,
Plume-patte-32,1,0,0.00,,,,,
Poland,6143,1739,28.31,,,,,
Poland-1,28,6,21.43,,,,,
Poland-2,29,6,20.69,,,,,
Poland-3,2,0,0.00,,,,,
Polyteknisk Roklub-1,5,0,0.00,,,,,
Pop Art,1,1,100.00,,,,,
Portugal,1472,280,19.02,,,,,
Portugal-1,2,0,0.00,,,,,
Portugal-2,2,0,0.00,,,,,
Posillipo III,3,0,0.00,,,,,
Potomac Archers,4,0,0.00,,,,,
Potsdam,1,0,0.00,,,,,
Pousse-Moi Pas VII,2,0,0.00,,,,,
Primorka,2,0,0.00,,,,,
Proteus II,3,0,0.00,,,,,
Puerto Rico,923,167,18.09,,,,,
Puerto Rico-1,2,0,0.00,,,,,
Puerto Rico-2,2,0,0.00,,,,,
Pupilles de Neptune de Lille #1-3,7,0,0.00,,,,,
Pupilles de Neptune de Lille #2-1,8,0,0.00,,,,,
Pupilles de Neptune de Lille-1,4,0,0.00,,,,,
Qatar,192,7,3.65,,,,,
Qu'Importe,5,0,0.00,,,,,
Quand-Mme-2,9,0,0.00,,,,,
Quand-Mme-33,4,0,0.00,,,,,
Quando Quando,1,1,100.00,,,,,
Quicksilver-2,2,1,50.00,,,,,
"R.-V. Germania, Leitmeritz",5,0,0.00,,,,,
Racing Club de France,11,0,0.00,,,,,
Raili,6,0,0.00,,,,,
Ral-Club Barcelona,5,0,0.00,,,,,
Ralia,5,0,0.00,,,,,
Rambo,1,1,100.00,,,,,
Rampage,2,0,0.00,,,,,
Ravel,1,0,0.00,,,,,
Ravenswood Boat Club-2,2,0,0.00,,,,,
Red Dragon,3,0,0.00,,,,,
Red Indian,2,0,0.00,,,,,
Refugee Olympic Athletes,12,5,41.67,,,,,
Relampago,1,1,100.00,,,,,
Rhodesia,10,1,10.00,,,,,
Rhythm,3,0,0.00,,,,,
Riccar,2,0,0.00,,,,,
Rififi,3,0,0.00,,,,,
Rika II,4,0,0.00,,,,,
Roddklubben af 1912-1,5,0,0.00,,,,,
Roddklubben af 1912-2,9,0,0.00,,,,,
Roehampton-1,4,0,0.00,,,,,
Roklubb Kbnhavn-2,5,0,0.00,,,,,
Roma,9,0,0.00,,,,,
Romania,4303,1611,37.44,,,,,
Romania-1,51,4,7.84,,,,,
Romania-2,51,4,7.84,,,,,
Romolo,2,0,0.00,,,,,
Rose Pompon,3,0,0.00,,,,,
Rostock,1,0,0.00,,,,,
Rowing Club Castillon-3,3,0,0.00,,,,,
Roy,3,0,0.00,,,,,
Royal Club Nautique de Gand,31,0,0.00,,,,,
Rozenn-3,1,0,0.00,,,,,
Rush IV,4,0,0.00,,,,,
Rush V,3,0,0.00,,,,,
Rush VII,3,0,0.00,,,,,
Russia,4922,2122,43.11,,,,,
Russia-1,88,28,31.82,,,,,
Russia-2,86,28,32.56,,,,,
Russia-3,30,11,36.67,,,,,
Rwanda,56,20,35.71,,,,,
Saar,93,7,7.53,,,,,
Sabre,3,0,0.00,,,,,
Saga-2,5,0,0.00,,,,,
SagaII,3,0,0.00,,,,,
Saint Kitts and Nevis,42,17,40.48,,,,,
Saint Lucia,28,13,46.43,,,,,
Saint Vincent and the Grenadines,42,11,26.19,,,,,
Salamander,3,0,0.00,,,,,
Salinero,1,1,100.00,,,,,
Samoa,63,12,19.05,,,,,
San Marino,181,17,9.39,,,,,
Sandra,3,0,0.00,,,,,
Sans Atout-1,5,0,0.00,,,,,
Santa Maria,6,0,0.00,,,,,
Sao Tome and Principe,15,6,40.00,,,,,
Sarcelle-3,6,0,0.00,,,,,
Sarcelle-35,3,0,0.00,,,,,
Saskia,6,1,16.67,,,,,
Sass-2,3,0,0.00,,,,,
Satchmo,1,1,100.00,,,,,
Saudi Arabia,230,5,2.17,,,,,
Scamasaxe-2,2,0,0.00,,,,,
Scamasaxe-3,2,0,0.00,,,,,
Scamasaxe-34,2,0,0.00,,,,,
Scaup,2,0,0.00,,,,,
Scotia,9,0,0.00,,,,,
Scotland,8,0,0.00,,,,,
Scotland-2,8,0,0.00,,,,,
Scotland-3,11,0,0.00,,,,,
Scram,2,0,0.00,,,,,
Sea Dog-2,2,0,0.00,,,,,
Seawanhaka Boat Club-1,2,0,0.00,,,,,
Senegal,393,77,19.59,,,,,
Serbia,388,139,35.82,,,,,
Serbia and Montenegro,321,58,18.07,,,,,
Serbia-1,2,0,0.00,,,,,
Serbia-2,2,0,0.00,,,,,
Serendipity,3,0,0.00,,,,,
Seychelles,111,23,20.72,,,,,
Sheerio,6,0,0.00,,,,,
Shoveller,3,0,0.00,,,,,
Shrew II,2,0,0.00,,,,,
Siames-Cat,2,0,0.00,,,,,
Sibindi-2,3,0,0.00,,,,,
Sidi Fekkar-36,4,0,0.00,,,,,
Sidi-Fekkar-14,8,0,0.00,,,,,
Sierra Leone,114,27,23.68,,,,,
Sif,4,0,0.00,,,,,
Sildra-1,4,0,0.00,,,,,
Silja,6,0,0.00,,,,,
Singapore,338,125,36.98,,,,,
Singapore-1,2,2,100.00,,,,,
Singapore-2,2,2,100.00,,,,,
Singy-37,2,0,0.00,,,,,
Singy-7,2,0,0.00,,,,,
Sirene,2,0,0.00,,,,,
Sjhxa,3,0,0.00,,,,,
Sjovinge,2,0,0.00,,,,,
Skidoo,3,1,33.33,,,,,
Skum,2,0,0.00,,,,,
Slaghoken,3,0,0.00,,,,,
Slaghoken II,3,0,0.00,,,,,
Slovakia,1041,357,34.29,,,,,
Slovakia-1,8,2,25.00,,,,,
Slovakia-2,6,2,33.33,,,,,
Slovenia,1107,410,37.04,,,,,
Slovenia-1,2,2,100.00,,,,,
Slovenia-2,2,2,100.00,,,,,
Smyrna,11,0,0.00,,,,,
Snap,3,0,0.00,,,,,
Snowten III,3,0,0.00,,,,,
Snude,3,0,0.00,,,,,
"Socialer Turnverein, Detroit",6,0,0.00,,,,,
Societ Nautique de la Marne,8,0,0.00,,,,,
Societ Nautique de la Marne-1,2,0,0.00,,,,,
Societ Nautique de la Marne-3,4,0,0.00,,,,,
Socit Nautique de Bayonne,19,0,0.00,,,,,
Socit Nautique de Bayonne-1,3,0,0.00,,,,,
Socit Nautique de Bayonne-2,8,0,0.00,,,,,
Socit Nautique de la Basse Seine-1,8,0,0.00,,,,,
Socit Nautique de la Basse Seine-2,3,0,0.00,,,,,
Solomon Islands,27,9,33.33,,,,,
Solos Carex,1,1,100.00,,,,,
Somalia,32,5,15.63,,,,,
Sonja II,3,0,0.00,,,,,
Sorais-2,5,0,0.00,,,,,
Souriceau-38,1,0,0.00,,,,,
Souriceau-4,2,0,0.00,,,,,
South Africa,1690,434,25.68,,,,,
South Africa-1,2,0,0.00,,,,,
South Africa-2,2,0,0.00,,,,,
South Korea,4344,1438,33.10,,,,,
South Korea-1,60,26,43.33,,,,,
South Korea-2,60,26,43.33,,,,,
"South St Louis Turnverein, St Louis",6,0,0.00,,,,,
South Sudan,3,1,33.33,,,,,
South Vietnam,62,2,3.23,,,,,
South Yemen,5,0,0.00,,,,,
Souvenance,1,0,0.00,,,,,
Soviet Union,5535,1556,28.11,,,,,
Soviet Union-1,46,12,26.09,,,,,
Soviet Union-2,46,12,26.09,,,,,
Soviet Union-3,20,10,50.00,,,,,
Spain,5224,1420,27.18,,,,,
Spain-1,33,10,30.30,,,,,
Spain-2,30,9,30.00,,,,,
Spirit III,4,0,0.00,,,,,
Spirit VI,3,0,0.00,,,,,
Springbok,2,0,0.00,,,,,
Squid III,2,0,0.00,,,,,
Sri Lanka,146,44,30.14,,,,,
St. Louis Amateur Athletic Association,12,0,0.00,,,,,
St. Louis Southwest Turnverein #1-2,5,0,0.00,,,,,
St. Louis Southwest Turnverein #2-3,5,0,0.00,,,,,
St. Margrite,2,0,0.00,,,,,
St. Rose-2,12,0,0.00,,,,,
Stade Franais AC-2,2,0,0.00,,,,,
Starita,2,0,0.00,,,,,
Starlight III,2,0,0.00,,,,,
State VI,3,0,0.00,,,,,
Stella-2,3,0,0.00,,,,,
Struten,3,0,0.00,,,,,
Studenternes Roklub-2,5,0,0.00,,,,,
Subbnboana,4,0,0.00,,,,,
Sudan,107,10,9.35,,,,,
Sunrise,1,1,100.00,,,,,
Sunshine,2,0,0.00,,,,,
Suriname,69,22,31.88,,,,,
Surprise,3,0,0.00,,,,,
Suzon IV-39,1,0,0.00,,,,,
Suzon IV-5,2,0,0.00,,,,,
Suzy-2,3,0,0.00,,,,,
Swaziland,67,8,11.94,,,,,
Sweden,8052,1970,24.47,,,,,
Sweden-1,44,5,11.36,,,,,
Sweden-2,46,5,10.87,,,,,
Sweden-3,8,2,25.00,,,,,
Sweden-4,2,1,50.00,,,,,
Swedish Star,2,0,0.00,,,,,
Swift,2,0,0.00,,,,,
Switzerland,5844,1188,20.33,,,,,
Switzerland-1,125,7,5.60,,,,,
Switzerland-2,131,7,5.34,,,,,
Sydney Rowing Club,9,0,0.00,,,,,
Sylvia,6,0,0.00,,,,,
Symphony,2,0,0.00,,,,,
Syndi,2,0,0.00,,,,,
Syria,156,17,10.90,,,,,
Taifun,7,0,0.00,,,,,
Tajamar,2,0,0.00,,,,,
Tajikistan,70,16,22.86,,,,,
Tan-Fe-Pah,3,0,0.00,,,,,
Tango,6,0,0.00,,,,,
Tantalus,2,0,0.00,,,,,
Tanzania,161,21,13.04,,,,,
Tengiri,2,0,0.00,,,,,
Teresita,3,0,0.00,,,,,
Terrible,2,0,0.00,,,,,
Thailand,732,213,29.10,,,,,
Thailand-1,4,0,0.00,,,,,
Thailand-2,4,0,0.00,,,,,
Thalatta,3,0,0.00,,,,,
Thames Rowing Club,5,0,0.00,,,,,
The Cloud,2,0,0.00,,,,,
Thessalonki-1,11,0,0.00,,,,,
Three Leaves,2,0,0.00,,,,,
Three Star Too,2,0,0.00,,,,,
Tichiboo,2,0,0.00,,,,,
Tilly,3,0,0.00,,,,,
Tim-Tam III,3,0,0.00,,,,,
Timor Leste,9,5,55.56,,,,,
Tineke,2,0,0.00,,,,,
Tip,3,0,0.00,,,,,
Titia,5,0,0.00,,,,,
Tlaloc,2,0,0.00,,,,,
Togo,59,11,18.64,,,,,
Tom Kyle,3,0,0.00,,,,,
Tomahawk II,3,0,0.00,,,,,
Tonga,46,10,21.74,,,,,
Tornade-16,1,0,0.00,,,,,
Tornado,5,0,0.00,,,,,
Toronto Argonauts,27,0,0.00,,,,,
Tournade-40,1,0,0.00,,,,,
Tramontane,2,0,0.00,,,,,
Trans-Mississippi Golf Association-2,10,0,0.00,,,,,
Trickson VI,5,0,0.00,,,,,
Trinidad and Tobago,373,80,21.45,,,,,
Trintel II,3,0,0.00,,,,,
Tritons Lillois-2,12,0,0.00,,,,,
Tu-Fri,3,0,0.00,,,,,
Tulilind,2,0,0.00,,,,,
Tunisia,561,95,16.93,,,,,
Turkey,1353,251,18.55,,,,,
Turkmenistan,54,22,40.74,,,,,
"Turnverein Vorwrts, Chicago",6,0,0.00,,,,,
"Turnverein Vorwrts, Cleveland",6,0,0.00,,,,,
Turquoise-1,1,0,0.00,,,,,
Turquoise-3,2,0,0.00,,,,,
Tutti V,5,0,0.00,,,,,
Tuvalu,7,2,28.57,,,,,
Twinkle,2,1,50.00,,,,,
Twins II,5,0,0.00,,,,,
Twins VIII,4,0,0.00,,,,,
USFSA,13,0,0.00,,,,,
Ubu,5,0,0.00,,,,,
Uganda,260,42,16.15,,,,,
Ukraine,2511,1158,46.12,,,,,
Ukraine-1,24,11,45.83,,,,,
Ukraine-2,24,11,45.83,,,,,
Umberta V,2,0,0.00,,,,,
Unified Team,832,316,37.98,,,,,
Unified Team-1,14,4,28.57,,,,,
Unified Team-2,14,4,28.57,,,,,
Unified Team-3,4,2,50.00,,,,,
Union des Socits Franais de Sports Athletiques,29,0,0.00,,,,,
Unique,3,0,0.00,,,,,
United Arab Emirates,144,7,4.86,,,,,
United Arab Republic,123,0,0.00,,,,,
United States,17847,5368,30.08,,,,,
United States Golf Association-3,10,0,0.00,,,,,
United States Virgin Islands,270,57,21.11,,,,,
United States Virgin Islands-1,12,0,0.00,,,,,
United States Virgin Islands-2,12,0,0.00,,,,,
United States-1,277,68,24.55,,,,,
United States-10,2,0,0.00,,,,,
United States-11,2,0,0.00,,,,,
United States-12,2,0,0.00,,,,,
United States-13,2,0,0.00,,,,,
United States-14,2,0,0.00,,,,,
United States-2,277,68,24.55,,,,,
United States-3,46,19,41.30,,,,,
United States-4,2,0,0.00,,,,,
United States-5,2,0,0.00,,,,,
United States-6,2,0,0.00,,,,,
United States-7,2,0,0.00,,,,,
United States-8,2,0,0.00,,,,,
United States-9,2,0,0.00,,,,,
United States/France,2,0,0.00,,,,,
United States/Great Britain,4,1,25.00,,,,,
Univ. of Brussels,11,0,0.00,,,,,
Unknown,2,0,0.00,,,,,
Upton Park FC,11,0,0.00,,,,,
Uragan,2,0,0.00,,,,,
Uruguay,570,62,10.88,,,,,
Uzbekistan,491,149,30.35,,,,,
Uzbekistan-1,2,1,50.00,,,,,
Uzbekistan-2,2,1,50.00,,,,,
Vanuatu,35,12,34.29,,,,,
Vaxholm Roddklubb,5,0,0.00,,,,,
Venezuela,921,221,24.00,,,,,
Venilia,3,0,0.00,,,,,
Vento Sul,2,0,0.00,,,,,
Verveine-19,1,0,0.00,,,,,
Verveine-41,1,0,0.00,,,,,
Vesania,2,0,0.00,,,,,
Vesper Boat Club,18,0,0.00,,,,,
Vicking,2,0,0.00,,,,,
Vietnam,154,74,48.05,,,,,
Viking,3,0,0.00,,,,,
Viktoriya,3,0,0.00,,,,,
Vim III,2,0,0.00,,,,,
Vinga-1,5,0,0.00,,,,,
Vinha,6,0,0.00,,,,,
Virginie,3,0,0.00,,,,,
Vision,4,0,0.00,,,,,
Voloira II,3,0,0.00,,,,,
Wales-4,11,0,0.00,,,,,
Wannsee,2,0,0.00,,,,,
Web II,3,0,0.00,,,,,
Web III,3,0,0.00,,,,,
Wendehals,2,0,0.00,,,,,
West Germany,3199,907,28.35,,,,,
West Germany-1,56,2,3.57,,,,,
West Germany-2,56,2,3.57,,,,,
West Germany-3,4,1,25.00,,,,,
West Indies Federation,18,0,0.00,,,,,
Western Golf Association-1,10,0,0.00,,,,,
Western Rowing Club-3,6,0,0.00,,,,,
Whirlaway,2,0,0.00,,,,,
Whisper,1,0,0.00,,,,,
White Lady,3,0,0.00,,,,,
Whitini Star,1,0,0.00,,,,,
Widgeon,2,0,0.00,,,,,
Wiking,5,0,0.00,,,,,
Willem-Six,3,0,0.00,,,,,
Windor,2,0,0.00,,,,,
Winnipeg Shamrocks-1,12,0,0.00,,,,,
Wolseley-Siddeley-1,4,0,0.00,,,,,
Xantippa,3,0,0.00,,,,,
Xolotl,3,0,0.00,,,,,
Yangon,2,0,0.00,,,,,
Yemen,32,4,12.50,,,,,
Yeoman,4,0,0.00,,,,,
Yeoman V,3,0,0.00,,,,,
Yeoman VII,3,0,0.00,,,,,
Yeoman XII,3,0,0.00,,,,,
Ylliam II,5,0,0.00,,,,,
Ylliam VII,6,0,0.00,,,,,
Ylliam VIII,5,0,0.00,,,,,
Yugoslavia,2558,378,14.78,,,,,
Yugoslavia-1,10,0,0.00,,,,,
Yugoslavia-2,10,0,0.00,,,,,
Zambia,183,19,10.38,,,,,
Zefyros,2,0,0.00,,,,,
Zimbabwe,309,113,36.57,,,,,
Zut,3,0,0.00,,,,,
rn-2,5,0,0.00,,,,,
